The Energy Technology RD&D Budgets database and an overview of the database are available here: https://www.iea.org/data-and-statistics/data-product/energy-technology-rd-and-d-budget-database-2
If you have any question about the data please contact RDD@iea.org
Please note that your use of IEA data is subject to the Terms and Conditions found here: https://www.iea.org/terms
""
COUNTRY,PRODUCT,FLOW,TIME,VALUE
AUSTRIA,PRDDEURO,EFFICIENCY,2013,..
AUSTRIA,PRDDEURO,EFFICIENCY,2014,..
AUSTRIA,PRDDEURO,EFFICIENCY,2015,..
AUSTRIA,PRDDEURO,EFFICIENCY,2016,..
AUSTRIA,PRDDEURO,EFFICIENCY,2017,..
AUSTRIA,PRDDEURO,EFFICIENCY,2018,..
AUSTRIA,PRDDEURO,EFFICIENCY,2019,..
AUSTRIA,PRDDEURO,EFFICIENCY,2020,..
AUSTRIA,PRDDEURO,EFFICIENCY,2021,..
AUSTRIA,PRDDEURO,EFFICIENCY,2022,..
AUSTRIA,PRDDEURO,EFFICIENCY,2023,..
AUSTRIA,PRDDEURO,FOSSILFUEL,2013,..
AUSTRIA,PRDDEURO,FOSSILFUEL,2014,..
AUSTRIA,PRDDEURO,FOSSILFUEL,2015,..
AUSTRIA,PRDDEURO,FOSSILFUEL,2016,..
AUSTRIA,PRDDEURO,FOSSILFUEL,2017,..
AUSTRIA,PRDDEURO,FOSSILFUEL,2018,..
AUSTRIA,PRDDEURO,FOSSILFUEL,2019,..
AUSTRIA,PRDDEURO,FOSSILFUEL,2020,..
AUSTRIA,PRDDEURO,FOSSILFUEL,2021,..
AUSTRIA,PRDDEURO,FOSSILFUEL,2022,..
AUSTRIA,PRDDEURO,FOSSILFUEL,2023,..
AUSTRIA,PRDDEURO,HGENCELL,2013,..
AUSTRIA,PRDDEURO,HGENCELL,2014,..
AUSTRIA,PRDDEURO,HGENCELL,2015,..
AUSTRIA,PRDDEURO,HGENCELL,2016,..
AUSTRIA,PRDDEURO,HGENCELL,2017,..
AUSTRIA,PRDDEURO,HGENCELL,2018,..
AUSTRIA,PRDDEURO,HGENCELL,2019,..
AUSTRIA,PRDDEURO,HGENCELL,2020,..
AUSTRIA,PRDDEURO,HGENCELL,2021,..
AUSTRIA,PRDDEURO,HGENCELL,2022,..
AUSTRIA,PRDDEURO,HGENCELL,2023,..
AUSTRIA,PRDDEURO,MEMOLC,2013,..
AUSTRIA,PRDDEURO,MEMOLC,2014,..
AUSTRIA,PRDDEURO,MEMOLC,2015,566.174
AUSTRIA,PRDDEURO,MEMOLC,2016,..
AUSTRIA,PRDDEURO,MEMOLC,2017,772.785
AUSTRIA,PRDDEURO,MEMOLC,2018,..
AUSTRIA,PRDDEURO,MEMOLC,2019,718.414
AUSTRIA,PRDDEURO,MEMOLC,2020,..
AUSTRIA,PRDDEURO,MEMOLC,2021,..
AUSTRIA,PRDDEURO,MEMOLC,2022,..
AUSTRIA,PRDDEURO,MEMOLC,2023,..
AUSTRIA,PRDDEURO,MEMONLC,2013,..
AUSTRIA,PRDDEURO,MEMONLC,2014,..
AUSTRIA,PRDDEURO,MEMONLC,2015,..
AUSTRIA,PRDDEURO,MEMONLC,2016,..
AUSTRIA,PRDDEURO,MEMONLC,2017,..
AUSTRIA,PRDDEURO,MEMONLC,2018,..
AUSTRIA,PRDDEURO,MEMONLC,2019,..
AUSTRIA,PRDDEURO,MEMONLC,2020,..
AUSTRIA,PRDDEURO,MEMONLC,2021,..
AUSTRIA,PRDDEURO,MEMONLC,2022,..
AUSTRIA,PRDDEURO,MEMONLC,2023,..
AUSTRIA,PRDDEURO,NUCLEAR,2013,..
AUSTRIA,PRDDEURO,NUCLEAR,2014,..
AUSTRIA,PRDDEURO,NUCLEAR,2015,..
AUSTRIA,PRDDEURO,NUCLEAR,2016,..
AUSTRIA,PRDDEURO,NUCLEAR,2017,..
AUSTRIA,PRDDEURO,NUCLEAR,2018,..
AUSTRIA,PRDDEURO,NUCLEAR,2019,..
AUSTRIA,PRDDEURO,NUCLEAR,2020,..
AUSTRIA,PRDDEURO,NUCLEAR,2021,..
AUSTRIA,PRDDEURO,NUCLEAR,2022,..
AUSTRIA,PRDDEURO,NUCLEAR,2023,..
AUSTRIA,PRDDEURO,OTHERPANDS,2013,..
AUSTRIA,PRDDEURO,OTHERPANDS,2014,..
AUSTRIA,PRDDEURO,OTHERPANDS,2015,..
AUSTRIA,PRDDEURO,OTHERPANDS,2016,..
AUSTRIA,PRDDEURO,OTHERPANDS,2017,..
AUSTRIA,PRDDEURO,OTHERPANDS,2018,..
AUSTRIA,PRDDEURO,OTHERPANDS,2019,..
AUSTRIA,PRDDEURO,OTHERPANDS,2020,..
AUSTRIA,PRDDEURO,OTHERPANDS,2021,..
AUSTRIA,PRDDEURO,OTHERPANDS,2022,..
AUSTRIA,PRDDEURO,OTHERPANDS,2023,..
AUSTRIA,PRDDEURO,OTHERTECH,2013,..
AUSTRIA,PRDDEURO,OTHERTECH,2014,..
AUSTRIA,PRDDEURO,OTHERTECH,2015,..
AUSTRIA,PRDDEURO,OTHERTECH,2016,..
AUSTRIA,PRDDEURO,OTHERTECH,2017,..
AUSTRIA,PRDDEURO,OTHERTECH,2018,..
AUSTRIA,PRDDEURO,OTHERTECH,2019,..
AUSTRIA,PRDDEURO,OTHERTECH,2020,..
AUSTRIA,PRDDEURO,OTHERTECH,2021,..
AUSTRIA,PRDDEURO,OTHERTECH,2022,..
AUSTRIA,PRDDEURO,OTHERTECH,2023,..
AUSTRIA,PRDDEURO,RENEWABLE,2013,..
AUSTRIA,PRDDEURO,RENEWABLE,2014,..
AUSTRIA,PRDDEURO,RENEWABLE,2015,..
AUSTRIA,PRDDEURO,RENEWABLE,2016,..
AUSTRIA,PRDDEURO,RENEWABLE,2017,..
AUSTRIA,PRDDEURO,RENEWABLE,2018,..
AUSTRIA,PRDDEURO,RENEWABLE,2019,..
AUSTRIA,PRDDEURO,RENEWABLE,2020,..
AUSTRIA,PRDDEURO,RENEWABLE,2021,..
AUSTRIA,PRDDEURO,RENEWABLE,2022,..
AUSTRIA,PRDDEURO,RENEWABLE,2023,..
AUSTRIA,PRDDEURO,TOTAL,2013,..
AUSTRIA,PRDDEURO,TOTAL,2014,..
AUSTRIA,PRDDEURO,TOTAL,2015,566.174
AUSTRIA,PRDDEURO,TOTAL,2016,..
AUSTRIA,PRDDEURO,TOTAL,2017,772.785
AUSTRIA,PRDDEURO,TOTAL,2018,..
AUSTRIA,PRDDEURO,TOTAL,2019,718.414
AUSTRIA,PRDDEURO,TOTAL,2020,..
AUSTRIA,PRDDEURO,TOTAL,2021,..
AUSTRIA,PRDDEURO,TOTAL,2022,..
