The Energy Technology RD&D Budgets database and an overview of the database are available here: https://www.iea.org/data-and-statistics/data-product/energy-technology-rd-and-d-budget-database-2
If you have any question about the data please contact RDD@iea.org
Please note that your use of IEA data is subject to the Terms and Conditions found here: https://www.iea.org/terms
""
COUNTRY,PRODUCT,FLOW,TIME,VALUE
IEAAM,RDDEURO,EFFICIENCY,1974,6.6
IEAAM,RDDEURO,EFFICIENCY,1975,34.1
IEAAM,RDDEURO,EFFICIENCY,1976,96.8
IEAAM,RDDEURO,EFFICIENCY,1977,339.4
IEAAM,RDDEURO,EFFICIENCY,1978,453.7
IEAAM,RDDEURO,EFFICIENCY,1979,597.1
IEAAM,RDDEURO,EFFICIENCY,1980,901.0
IEAAM,RDDEURO,EFFICIENCY,1981,678.3
IEAAM,RDDEURO,EFFICIENCY,1982,464.5
IEAAM,RDDEURO,EFFICIENCY,1983,635.6
IEAAM,RDDEURO,EFFICIENCY,1984,510.3
IEAAM,RDDEURO,EFFICIENCY,1985,623.7
IEAAM,RDDEURO,EFFICIENCY,1986,448.0
IEAAM,RDDEURO,EFFICIENCY,1987,409.8
IEAAM,RDDEURO,EFFICIENCY,1988,355.2
IEAAM,RDDEURO,EFFICIENCY,1989,370.8
IEAAM,RDDEURO,EFFICIENCY,1990,402.3
IEAAM,RDDEURO,EFFICIENCY,1991,451.0
IEAAM,RDDEURO,EFFICIENCY,1992,556.5
IEAAM,RDDEURO,EFFICIENCY,1993,588.5
IEAAM,RDDEURO,EFFICIENCY,1994,807.6
IEAAM,RDDEURO,EFFICIENCY,1995,922.7
IEAAM,RDDEURO,EFFICIENCY,1996,755.1
IEAAM,RDDEURO,EFFICIENCY,1997,699.7
IEAAM,RDDEURO,EFFICIENCY,1998,747.9
IEAAM,RDDEURO,EFFICIENCY,1999,836.2
IEAAM,RDDEURO,EFFICIENCY,2000,893.6
IEAAM,RDDEURO,EFFICIENCY,2001,955.3
IEAAM,RDDEURO,EFFICIENCY,2002,974.2
IEAAM,RDDEURO,EFFICIENCY,2003,685.7
IEAAM,RDDEURO,EFFICIENCY,2004,601.9
IEAAM,RDDEURO,EFFICIENCY,2005,740.1
IEAAM,RDDEURO,EFFICIENCY,2006,648.8
IEAAM,RDDEURO,EFFICIENCY,2007,800.7
IEAAM,RDDEURO,EFFICIENCY,2008,935.1
IEAAM,RDDEURO,EFFICIENCY,2009,2841.4
IEAAM,RDDEURO,EFFICIENCY,2010,1892.2
IEAAM,RDDEURO,EFFICIENCY,2011,1214.1
IEAAM,RDDEURO,EFFICIENCY,2012,1288.8
IEAAM,RDDEURO,EFFICIENCY,2013,1625.4
IEAAM,RDDEURO,EFFICIENCY,2014,1639.1
IEAAM,RDDEURO,EFFICIENCY,2015,1531.9
IEAAM,RDDEURO,EFFICIENCY,2016,1873.6
IEAAM,RDDEURO,EFFICIENCY,2017,2037.2
IEAAM,RDDEURO,EFFICIENCY,2018,2631.2
IEAAM,RDDEURO,EFFICIENCY,2019,2722.4
IEAAM,RDDEURO,EFFICIENCY,2020,3011.8
IEAAM,RDDEURO,EFFICIENCY,2021,3033.2
IEAAM,RDDEURO,EFFICIENCY,2022,2804.5
IEAAM,RDDEURO,FOSSILFUEL,1974,425.3
IEAAM,RDDEURO,FOSSILFUEL,1975,625.3
IEAAM,RDDEURO,FOSSILFUEL,1976,1000.0
IEAAM,RDDEURO,FOSSILFUEL,1977,1602.6
IEAAM,RDDEURO,FOSSILFUEL,1978,1989.2
IEAAM,RDDEURO,FOSSILFUEL,1979,1912.7
IEAAM,RDDEURO,FOSSILFUEL,1980,2557.6
IEAAM,RDDEURO,FOSSILFUEL,1981,2272.5
IEAAM,RDDEURO,FOSSILFUEL,1982,1172.8
IEAAM,RDDEURO,FOSSILFUEL,1983,910.3
IEAAM,RDDEURO,FOSSILFUEL,1984,1002.9
IEAAM,RDDEURO,FOSSILFUEL,1985,964.7
IEAAM,RDDEURO,FOSSILFUEL,1986,1060.8
IEAAM,RDDEURO,FOSSILFUEL,1987,838.6
IEAAM,RDDEURO,FOSSILFUEL,1988,1152.6
IEAAM,RDDEURO,FOSSILFUEL,1989,1095.4
IEAAM,RDDEURO,FOSSILFUEL,1990,1855.1
IEAAM,RDDEURO,FOSSILFUEL,1991,1608.8
IEAAM,RDDEURO,FOSSILFUEL,1992,873.6
IEAAM,RDDEURO,FOSSILFUEL,1993,808.0
IEAAM,RDDEURO,FOSSILFUEL,1994,924.4
IEAAM,RDDEURO,FOSSILFUEL,1995,596.3
IEAAM,RDDEURO,FOSSILFUEL,1996,663.6
IEAAM,RDDEURO,FOSSILFUEL,1997,340.4
IEAAM,RDDEURO,FOSSILFUEL,1998,362.4
IEAAM,RDDEURO,FOSSILFUEL,1999,396.2
IEAAM,RDDEURO,FOSSILFUEL,2000,391.3
IEAAM,RDDEURO,FOSSILFUEL,2001,618.6
IEAAM,RDDEURO,FOSSILFUEL,2002,710.4
IEAAM,RDDEURO,FOSSILFUEL,2003,697.4
IEAAM,RDDEURO,FOSSILFUEL,2004,759.2
IEAAM,RDDEURO,FOSSILFUEL,2005,800.1
IEAAM,RDDEURO,FOSSILFUEL,2006,830.5
IEAAM,RDDEURO,FOSSILFUEL,2007,903.1
IEAAM,RDDEURO,FOSSILFUEL,2008,1087.7
IEAAM,RDDEURO,FOSSILFUEL,2009,4694.0
IEAAM,RDDEURO,FOSSILFUEL,2010,1206.1
IEAAM,RDDEURO,FOSSILFUEL,2011,1247.1
IEAAM,RDDEURO,FOSSILFUEL,2012,1247.2
IEAAM,RDDEURO,FOSSILFUEL,2013,1395.0
IEAAM,RDDEURO,FOSSILFUEL,2014,972.1
IEAAM,RDDEURO,FOSSILFUEL,2015,863.7
IEAAM,RDDEURO,FOSSILFUEL,2016,836.0
IEAAM,RDDEURO,FOSSILFUEL,2017,881.2
IEAAM,RDDEURO,FOSSILFUEL,2018,1031.6
IEAAM,RDDEURO,FOSSILFUEL,2019,870.1
IEAAM,RDDEURO,FOSSILFUEL,2020,821.6
IEAAM,RDDEURO,FOSSILFUEL,2021,864.7
IEAAM,RDDEURO,FOSSILFUEL,2022,518.7
